Device Name,Date,Temperature (DegC),,Flow Rate (USGPM),TR
,,CHWR,CHWS,Flow,Load
BTU-1,2/17/2017 23:55,21.8,18.69,96,22
BTU-2,2/17/2017 23:55,23.35,18.79,86.1,29
BTU-1,2/17/2017 23:50,22.83,19.57,93.5,22.5
BTU-2,2/17/2017 23:50,23.32,19.45,81.5,23.2
BTU-1,2/17/2017 23:45,22.79,19.4,98,24.5
BTU-2,2/17/2017 23:45,22.97,19.39,85.3,22.5
BTU-1,2/17/2017 23:40,21.51,19.45,100.8,15.3
BTU-2,2/17/2017 23:40,22.5,19.51,86.1,19
BTU-1,2/17/2017 23:35,22.54,19.04,134.5,34.7
BTU-2,2/17/2017 23:35,23.43,18.69,115.7,40.4
BTU-1,2/17/2017 23:30,22.74,19.45,--,22.9
BTU-2,2/17/2017 23:30,23.45,19.6,82.8,23.5
BTU-1,2/17/2017 23:25,22.6,19.77,94.2,19.6
BTU-2,2/17/2017 23:25,23.07,19.75,82.3,20.1
BTU-1,2/17/2017 23:20,22.28,18.86,93.8,23.6
BTU-2,2/17/2017 23:20,23.19,19,82,25.3
BTU-1,2/17/2017 23:15,22.45,19.25,93.1,22
BTU-2,2/17/2017 23:15,23.14,19.21,82.8,23.9
BTU-1,2/17/2017 23:10,22.81,18.78,95.5,28.3
BTU-2,2/17/2017 23:10,23.51,18.79,82,28.5
BTU-1,2/17/2017 23:05,22.97,19.6,94.3,23.4
BTU-2,2/17/2017 23:05,23.54,19.61,82.5,--
BTU-1,2/17/2017 23:00,22.88,19.77,93.4,21.4
BTU-2,2/17/2017 23:00,--,19.66,82.4,21
BTU-1,2/17/2017 22:55,22.31,18.92,96,24
BTU-2,2/17/2017 22:55,23.11,19.07,84.6,25.2
BTU-1,2/17/2017 22:50,22.43,18.86,95.4,25.1
BTU-2,2/17/2017 22:50,23.55,19.02,85,28.4
BTU-1,2/17/2017 22:45,23.21,19.67,97.7,25.5
BTU-2,2/17/2017 22:45,23.51,19.7,85.6,24
BTU-1,2/17/2017 22:40,21.57,20.14,100.1,10.5
BTU-2,2/17/2017 22:40,23.02,20.24,86,17.6
BTU-1,2/17/2017 22:35,22.44,19.5,96.3,20.8
BTU-2,2/17/2017 22:35,23.24,19.43,82.5,23.2
BTU-1,2/17/2017 22:30,22.98,18.87,94.1,28.4
BTU-2,2/17/2017 22:30,23.63,19.01,83.1,28.3
BTU-1,2/17/2017 22:25,22.99,19.62,94.2,23.3
BTU-2,2/17/2017 22:25,23.44,19.71,82.8,22.7
BTU-1,2/17/2017 22:20,22.48,19.9,95.7,18.2
BTU-2,2/17/2017 22:20,23.11,19.89,83.1,19.7
BTU-1,2/17/2017 22:15,22.28,18.91,96.1,23.9
BTU-2,2/17/2017 22:15,23.27,19.06,83.7,26
BTU-1,2/17/2017 22:10,22.54,19.04,96.3,24.8
BTU-2,2/17/2017 22:10,23.37,19.14,82.2,25.6
BTU-1,2/17/2017 22:05,22.52,19.25,95.4,23
BTU-2,2/17/2017 22:05,23.4,19.39,82,24.2
BTU-1,2/17/2017 22:00,22.45,19.24,96.7,22.9
BTU-2,2/17/2017 22:00,23.2,19.34,82.3,23.4
BTU-1,2/17/2017 21:55,22.6,19.17,94.6,23.9
BTU-2,2/17/2017 21:55,23.63,19.15,83.2,27.5
BTU-1,2/17/2017 21:50,22.83,19.69,92.3,21.3
BTU-2,2/17/2017 21:50,23.53,19.82,82.5,22.5
BTU-1,2/17/2017 21:45,22.52,20,92.7,17.2
BTU-2,2/17/2017 21:45,23.07,19.98,81.9,18.6
BTU-1,2/17/2017 21:40,22.39,19.06,94.5,23.2
BTU-2,2/17/2017 21:40,23.16,18.95,83.7,25.9
BTU-1,2/17/2017 21:35,22.59,19.25,94.9,23.4
BTU-2,2/17/2017 21:35,23.18,19.19,82.5,24.3
BTU-1,2/17/2017 21:30,22.49,19.24,94.2,22.5
BTU-2,2/17/2017 21:30,23.2,19.32,82,23.4
BTU-1,2/17/2017 21:25,22.46,19.23,96.8,23.1
BTU-2,2/17/2017 21:25,23.16,19.31,83.2,23.6
BTU-1,2/17/2017 21:20,22.31,19.17,95.4,22.1
BTU-2,2/17/2017 21:20,23.44,19.26,83,25.6
BTU-1,2/17/2017 21:15,22.83,19.65,95.5,22.4
BTU-2,2/17/2017 21:15,22.88,19.61,82.7,19.9
BTU-1,2/17/2017 21:10,21.81,19.15,111.5,21.8
BTU-2,2/17/2017 21:10,22.5,19.16,99,24.3
BTU-1,2/17/2017 21:05,21.69,18.81,110.7,23.5
BTU-2,2/17/2017 21:05,22.53,18.79,97.9,27
BTU-1,2/17/2017 21:00,21.72,18.79,111.9,24.1
BTU-2,2/17/2017 21:00,22.64,18.84,96.9,27.1
BTU-1,2/17/2017 20:55,21.85,18.85,111.7,24.7
BTU-2,2/17/2017 20:55,22.64,18.96,98.1,26.5
BTU-1,2/17/2017 20:50,21.6,19.03,110,20.8
BTU-2,2/17/2017 20:50,22.47,19.08,97.8,24.4
BTU-1,2/17/2017 20:45,21.51,19,132.1,24.4
BTU-2,2/17/2017 20:45,22.49,19.1,115.4,28.8
BTU-1,2/17/2017 20:40,21.78,19.21,132,24.9
BTU-2,2/17/2017 20:40,22.53,19.29,116.6,27.8
BTU-1,2/17/2017 20:35,21.11,19.06,127.8,19.3
BTU-2,2/17/2017 20:35,23.19,19.03,111.5,34.2
BTU-1,2/17/2017 20:30,22.84,18.84,94.2,27.8
BTU-2,2/17/2017 20:30,23.36,19.03,82,26.2
BTU-1,2/17/2017 20:25,22.08,19.68,97.4,17.2
BTU-2,2/17/2017 20:25,22.85,19.79,84.7,19.1
BTU-1,2/17/2017 20:20,21.69,19.28,134.6,23.9
BTU-2,2/17/2017 20:20,22.54,19.35,117.3,27.6
BTU-1,2/17/2017 20:15,22.82,18.4,123.3,40.2
BTU-2,2/17/2017 20:15,23.3,18.37,107.3,39
BTU-1,2/17/2017 20:10,22.64,19.26,95.5,23.8
BTU-2,2/17/2017 20:10,23.71,19.29,83.1,27
BTU-1,2/17/2017 20:05,23.25,20.37,94.1,19.9
BTU-2,2/17/2017 20:05,22.93,20.34,82.7,15.8
BTU-1,2/17/2017 20:00,21.79,19.26,133.8,24.5
BTU-2,2/17/2017 20:00,22.61,19.43,115.5,27.1
BTU-1,2/17/2017 19:55,21.62,19.16,131.9,23.9
BTU-2,2/17/2017 19:55,22.48,19.4,115.8,26.3
BTU-1,2/17/2017 19:50,21.72,19.04,129.2,25.4
BTU-2,2/17/2017 19:50,22.57,19.19,116.4,29
BTU-1,2/17/2017 19:45,21.89,19.1,96.4,19.8
BTU-1,2/17/2017 19:40,21.42,19.04,130.9,22.9
BTU-2,2/17/2017 19:40,22.22,18.93,116.9,28.3
BTU-1,2/17/2017 19:35,21.45,18.71,133.4,26.8
BTU-2,2/17/2017 19:35,22.49,18.71,116.5,32.4
BTU-1,2/17/2017 19:30,21.69,18.84,132,27.7
BTU-2,2/17/2017 19:30,22.49,19.26,115,27.4
BTU-1,2/17/2017 19:25,21.24,18.96,125.9,21
BTU-2,2/17/2017 19:25,22.74,18.84,110.1,31.6
BTU-1,2/17/2017 19:20,22.17,18.74,97.2,24.6
BTU-2,2/17/2017 19:20,23,18.69,85.3,27.1
BTU-1,2/17/2017 19:15,22.42,19.81,100.1,19.2
BTU-2,2/17/2017 19:15,22.84,19.78,87.2,19.7
BTU-1,2/17/2017 19:10,21.83,19.12,131.9,26.3
BTU-2,2/17/2017 19:10,22.66,19.49,115.9,27.1
BTU-1,2/17/2017 19:05,21.74,19,96.1,19.4
BTU-2,2/17/2017 19:05,23.19,18.79,84.7,27.5
BTU-1,2/17/2017 19:00,23,19.46,93.7,24.4
BTU-2,2/17/2017 19:00,23.32,19.49,83.8,23.6
BTU-1,2/17/2017 18:55,--,--,--,--
BTU-2,2/17/2017 18:55,--,--,--,--
BTU-1,2/17/2017 18:50,21.87,19.2,136,26.8
BTU-2,2/17/2017 18:50,22.71,19.17,115.4,30.1
BTU-1,2/17/2017 18:45,21.63,19.19,109,19.6
BTU-2,2/17/2017 18:45,23.11,19.35,96.8,26.8
BTU-1,2/17/2017 18:40,22.3,19,127.3,31
BTU-1,2/17/2017 18:35,23.23,19.16,94.8,28.4
BTU-2,2/17/2017 18:35,23.55,19.09,81.5,26.8
BTU-1,2/17/2017 18:30,22.51,19.44,99.1,22.4
BTU-2,2/17/2017 18:30,22.95,19.6,85.3,21
BTU-1,2/17/2017 18:25,21.84,19.24,134.2,25.7
BTU-2,2/17/2017 18:25,22.55,19.29,117.4,28.1
BTU-1,2/17/2017 18:20,22.43,18.42,94.3,27.9
BTU-2,2/17/2017 18:20,23.43,18.48,83.9,30.6
BTU-1,2/17/2017 18:15,22.94,19.21,93.6,25.7
BTU-2,2/17/2017 18:15,22.98,19.42,82.5,21.6
BTU-1,2/17/2017 18:10,22.16,19.2,110,23.9
BTU-2,2/17/2017 18:10,22.92,19.2,97.1,26.6
BTU-1,2/17/2017 18:05,21.87,19.15,110.9,22.2
